2026-03-24 15:45:11 | INFO | n4ughtyllm_gate | sqlite store initialized path=logs/n4ughtyllm_gate.db
2026-03-24 15:45:11 | WARNING | n4ughtyllm_gate | boundary reject non-token request path=/v1/responses client=127.0.0.1 hint=set N4UGHTYLLM_GATE_UPSTREAM_BASE_URL or use token path
2026-03-24 15:45:11 | WARNING | n4ughtyllm_gate | boundary reject non-token v2 request path=/v2/proxy
2026-03-24 15:45:11 | WARNING | n4ughtyllm_gate | boundary reject non-token v2 request path=/v2/proxy
2026-03-24 15:45:11 | WARNING | n4ughtyllm_gate | boundary reject non-loopback host=8.8.8.8 path=/__gw__/register
2026-03-24 15:45:11 | WARNING | n4ughtyllm_gate | boundary reject admin endpoint from non-internal host=8.8.8.8 path=/__gw__/register
2026-03-24 15:45:11 | WARNING | n4ughtyllm_gate | boundary reject admin endpoint from non-internal host=8.8.8.8 path=/__gw__/register
2026-03-24 15:45:11 | WARNING | n4ughtyllm_gate | boundary reject non-loopback host=8.8.8.8 path=/__gw__/add
2026-03-24 15:45:11 | WARNING | n4ughtyllm_gate | boundary reject admin endpoint from non-internal host=8.8.8.8 path=/__gw__/add
2026-03-24 15:45:11 | INFO | n4ughtyllm_gate | security rules loaded path=/home/ali/Desktop/my_code/AegisGate/n4ughtyllm_gate/policies/rules/security_filters.yaml
2026-03-24 15:45:11 | INFO | n4ughtyllm_gate | pipeline initialized request_filters=['exact_value_redaction', 'redaction', 'system_prompt_guard', 'untrusted_content_guard', 'request_sanitizer', 'rag_poison_guard'] response_filters=['exact_value_redaction', 'anomaly_detector', 'injection_detector', 'rag_poison_guard', 'privilege_guard', 'tool_call_guard', 'restoration', 'post_restore_guard', 'output_sanitizer']
2026-03-24 15:45:11 | INFO | n4ughtyllm_gate | chat_completions format_redirect: payload has 'input' without 'messages', redirecting to responses handler
2026-03-24 15:45:11 | INFO | n4ughtyllm_gate | chat_completions format_redirect: payload has 'input' without 'messages', redirecting to responses handler
2026-03-24 15:45:11 | INFO | n4ughtyllm_gate | responses format_redirect: payload has 'messages' without 'input', redirecting to chat handler
